,name,slider,flags,opposites,introduce,cancel,raise,lower,department,prereqs,mincost,maxcost,costfunction,cost multiplier,implementation,minincome,maxincome,incomefunction,incomemultiplier,nationalisation GDP percentage,,,,,,,,,,,,,,,,,,
#,AbortionLaw,abortion,UNCANCELLABLE,,0,0,31,22,PUBLICSERVICES,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Religious,0.2-(x^5)","Liberal,0.2+(x-1)^5","Conservatives,0.2-(0.4*x)","Population,0.05-(0.1*x),16","_global_liberalism,0.20*(x^2)-0.06,16","GenderEquality,-0.1+(0.2*x)",,,,,,,,,,,
#,AdultEducationSubsidies,default,,,12,18,8,8,PUBLICSERVICES,,40,130,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Education,0.03+(0.04*x),12","WorkerProductivity,0.02+(0.02*x),4",,,,,,,,,,,,,,,
#,AgricultureSubsidies,default,,,15,24,12,12,ECONOMY,,30,700,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Capitalist,0.00-(0.08*x)","Unemployment,0.00-(0.17*x)","Farmers,0.075+(0.31*x)","Farmers_freq,0.01+(0.12*x),4","Farmers_income,0+(0.25*x)",,,,,,,,,,,,
#,AirlineTax,tax,,,28,15,15,8,TAX,,0,0,0+(1.0*x),,1,28.75,1450,0+(1.0*x),"AirTravel,0+(1.0*x)",,#Effects,"Capitalist,0.00-(0.06*x)","Environmentalist,0.01+(0.06*x),2","GDP,0.00-(0.05*x),2","AirTravel,0-(0.3*x),4","_MiddleIncome,0-(0.02*x)*AirTravel","_HighIncome,0-(0.03*x)*AirTravel",,,,,,,,,,,
#,AlcoholAwarenessCampaign,default,,,2,2,1,1,WELFARE,,6.25,20,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"AlcoholConsumption,0-(0.15*x),12",,,,,,,,,,,,,,,,
#,AlcoholLaw,alcohollaw,UNCANCELLABLE,,21,12,15,10,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Liberal,0.20-(0.40*x)","AlcoholConsumption,0.4-(1.0*x),4","Young,-0.2*(x^2)","_global_liberalism,0.04-(0.12*x),16","Tourism,-0.05*(x^4)","Organised Crime,0.11*(x^4),4",,,,,,,,,,,
#,AlcoholTax,tax,,,30,9,10,4,TAX,,0,0,0+(1.0*x),,1,0,1017.5,0+(1.0*x),"AlcoholConsumption,0+(1.0*x)",,#Effects,"Poor,-0.2*(AlcoholConsumption*x)","PovertyRate,0.2*(AlcoholConsumption*x)","Equality,-0.1*(AlcoholConsumption*x)","AlcoholConsumption,-0.58*(x^2),2",,,,,,,,,,,,,
#,AntibioticsBan,default,,,12,10,10,9,ECONOMY,,5,12.5,0+(1.0*x),"Farmers_perc,0.25+(0.75*x)",2,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.01+(0.03*x)","Farmers,-0.25*(x^1.6)","Capitalist,-0.03-(0.015*x)","Health,0.02+(0.04*x),8","Farmers_income,-0.1-(0.23*x)","Farmers_freq,-0.03-(0.07*x)","FoodPrice,0.05+(0.10*x),16",,,,,,,,,,
#,AntiCorruptionAgency,default,,,20,20,12,12,LAWANDORDER,,1.5,12.5,0+(1.0*x),,8,0,0,0+(1.0*x),,,#Effects,"Corruption,0-(0.3*x),16","StateEmployees,0-(0.5*x)*Corruption",,,,,,,,,,,,,,,
#,ArmedPolice,armedpolice,,,38,36,12,22,LAWANDORDER,,75,240,0+(1.0*x),,3,0,0,0+(1.0*x),,,#Effects,"Liberal,-0.05-(0.25*x)","CrimeRate,-0.10*(x^0.68)+0.01,2","ViolentCrimeRate,-0.20*(x^0.4),2","_security_,(0.025+0.035*x)","StateEmployees,0+(0.18*x)","StateEmployees_freq,0+(0.03*x)","StateEmployees_income_fixed,0+(4200*x)","Unemployment,0-(0.04*x)",,,,,,,,,
#,ArtsSubsidies,artssubsidies,,,13,15,3,7,PUBLICSERVICES,,9,70,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Liberal,0.01+(0.08*x)","Capitalist,-0.01-(0.03*x)","ForeignRelations,0+(0.07*x),32","Tourism,0+(0.10*x),24","Education,0+(0.03*x),16","_global_liberalism,-0.01+(0.06*x),16","Unemployment,0-(0.01*x)",,,,,,,,,,
#,AutomationTax,tax,,,6,10,19,15,TAX,,0,0,0+(1.0*x),,1,37.5,3700,0+(1.0*x),"GDP,0.5+(0.5*x);TaxEvasion,1.0-(0.2*x);IndustrialAutomation,0.2+(0.8*x)",,#Effects,"Capitalist,0-(0.07*x)","Capitalist_income,0-(0.03*x),8","TradeUnionist,0.0+(0.07*x)","Technology,-0.033-(0.066*x),8","IndustrialAutomation,-0.3*(x^1.4)-0.02","CorporateExodus,0.05+(0.1*x),2","BrainDrain,0.02+(0.08*x),2",,,,,,,,,,
#,BanCoal,default,,,16,26,7,7,ECONOMY,,0,0,0+(1.0*x),,4,0,0,0+(1.0*x),,,#Effects,"Environmentalist,0.04+(0.08*x)","Capitalist,-0.02-(0.07*x)","CO2Emissions,-0.03-(0.08*x)","GDP,-0.02-(0.06*x),4","OilDemand,0.01+(0.04*x)","Environment,0.02+(0.03*x),4","AsthmaEpidemic,-0.02-(0.06*x),4",,,,,,,,,,
#,Bandivorce,bandivorce,,,32,18,14,14,LAWANDORDER,,0,0,0+(1.0*x),,1,0,0,0+(1.0*x),,,#Effects,"Conservatives,0.06+(x*0.05)","Religious,0.08+(x*0.12)","Liberal,-0.06-(x*0.1)","Religious_freq,-0.01-(x*0.02),8","_global_liberalism,-0.16*(x^2)-0.06,8","GenderEquality,-0.1-(0.08*x)",,,,,,,,,,,
#,Banforeignchurchservice,foreignchurchban,,,30,16,14,14,PUBLICSERVICES,,0,0,0+(1.0*x),,2,0,0,0+(1.0*x),,,#Effects,"Religious,0.04+(x*0.20)","Liberal,-0.04-(x*0.11)","EthnicMinorities,-0.07-(x*0.43)","ImmigrationDemand,-0.03-(x*0.25),2","RacialTension,0.05+(x*0.25)",,,,,,,,,,,,
