,,zone,def,min,max,emotion,icon,,,,,,,,,,,,,,,,,,,,
#,GlobalCO2,NOICON,0.01,0,1,HIGHBAD,icons_co2,#,"_year,0+(0.01*x)* _winning_","_globaleconomy_,0+(0.08*x)* _winning_",#,,,,,,,,,,,,,,,,
#,_HighIncome,ECONOMY,0,-1,1,HIGHGOOD,icons_highincome,#,#,"CarUsage,0+(0.18*x)","AirTravel,0+(0.26*x)",,,,,,,,,,,,,,,,
#,_LowIncome,ECONOMY,0,-1,1,HIGHGOOD,icons_lowincome,#,#,"CarUsage,0+(0.06*x)","AirTravel,0+(0.06*x)","BusUsage,0-(0.05*x)",,,,,,,,,,,,,,,
#,_MiddleIncome,ECONOMY,0,-1,1,HIGHGOOD,icons_middleincome,#,#,"CarUsage,0+(0.16*x)","AirTravel,0+(0.16*x)",,,,,,,,,,,,,,,,
#,_Terrorism,HIDDEN,0.5,0,1,HIGHBAD,icons_crimerate,#,"_year,0+(0.01*x)",#,,,,,,,,,,,,,,,,,
#,AirTravel,TRANSPORT,0,0,1,UNKNOWN,icons_airtravel,#,#,"CO2Emissions,0.32*(x^2)","OilDemand,0+(0.1*x)","Environment,-0.14*(x^3)","RailUsage,0-(0.04*x)","Pollution,0+(0.09*x)",,,,,,,,,,,,,
#,AlcoholConsumption,WELFARE,0.3,0,1,HIGHBAD,icons_alcohollaw,#,"GDP,0+(0.1*x)^0.5","PovertyRate,0.2*(x^2)","Unemployment,0.2*(x^2)",#,"Health,0-(0.05*x),12","WorkerProductivity,0-(0.15*x)","CrimeRate,0.0+(0.09*x)","ViolentCrimeRate,0.15*(x^1.2),6","HealthcareDemand,0+(0.12*x),1",,,,,,,,,,
#,AverageTemperature,PUBLICSERVICES,0,0,1,HIGHBAD,icons_AverageTemperature,#,"CO2Emissions,0+(0.25*x),16","GlobalCO2,0+(0.8*x),16",#,"ImmigrationDemand,0.09*(x^4)","ViolentCrimeRate,0.07*(x^4)",,,,,,,,,,,,,,
#,BusinessConfidence,ECONOMY,0.375,0,1,HIGHGOOD,icons_businessconfidence,#,"Stability,0+(0.25*x)","_effectivedebt_,-0.22*(x^2)+0.06",#,"GDP,-0.09+(0.18*x),8",,,,,,,,,,,,,,,
#,BusUsage,TRANSPORT,0.15,0,1,UNKNOWN,icons_bususage,#,"GDP,0+(0.1*x)",#,"CarUsage,0-(0.35*x)","RailUsage,0-(0.22*x)","OilDemand,0+(0.13*x)",,,,,,,,,,,,,,
